画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-08-02-A1-0373-O,,●,●,1,2024/11/19_11:01:25,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0374-O,,●,●,1,2024/11/19_11:01:26,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0375-O,,●,●,1,2024/11/19_11:01:28,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0376-O,,●,●,1,2024/11/19_11:01:30,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0377-O,,●,●,2,2024/12/12_16:03:40,M.S.,2024/12/12_16:04:35,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0378-O,,●,●,1,2024/11/19_11:01:34,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0379-O,,●,●,1,2024/11/19_11:01:36,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0380-O,,●,●,1,2024/11/19_11:01:38,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0381-O,,●,●,1,2024/11/19_11:01:40,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0382-O,,●,●,1,2024/11/19_11:01:43,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0383-O,,●,●,1,2024/11/19_11:01:45,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0384-O,,●,●,2,2024/11/27_10:56:21,M.S.,2024/11/27_10:56:34,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0385-O,,●,●,2,2024/11/27_10:56:24,M.S.,2024/11/27_10:56:34,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-02-A1-0386-O,,●,●,2,2024/11/19_11:02:03,M.S.,2024/11/19_11:02:06,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0068-O,,●,●,1,2024/11/19_13:48:42,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0069-O,,●,●,1,2024/11/19_13:48:45,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0070-O,,●,●,1,2024/11/19_13:48:59,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0071-O,,●,●,1,2024/11/19_13:49:01,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0072-O,,●,●,1,2024/11/19_13:49:04,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0073-O,,●,●,1,2024/11/19_13:50:53,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0074-O,,●,●,3,2024/12/12_16:31:04,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0075-O,,●,●,3,2024/12/12_16:31:08,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0076-O,,●,●,3,2024/12/12_16:31:11,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0077-O,,●,●,3,2024/12/12_16:31:14,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0078-O,,●,●,3,2024/12/12_16:31:17,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0079-O,,●,●,3,2024/12/12_16:31:20,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0080-O,,●,●,3,2024/12/12_16:31:23,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0081-O,,●,●,4,2025/01/10_11:13:57,M.S.,2025/01/10_13:06:25,,,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0082-O,,●,●,1,2024/11/19_13:51:26,M.S.,2024/11/19_14:18:14,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0083-O,,●,●,1,2024/11/19_13:51:31,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0084-O,,●,●,1,2024/11/19_13:51:35,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0085-O,,●,●,2,2024/12/12_16:31:39,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0086-O,,●,●,2,2025/01/10_11:14:24,M.S.,2025/01/10_13:06:25,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0087-O,,●,●,1,2024/11/19_13:51:52,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0088-O,,●,●,1,2024/11/19_13:53:55,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0089-O,,●,●,2,2025/01/10_11:14:32,M.S.,2025/01/10_13:06:25,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0090-O,,●,●,1,2024/11/19_13:54:09,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0091-O,,●,●,1,2024/11/19_13:54:11,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0092-O,,●,●,1,2024/11/19_13:54:18,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0093-O,,●,●,1,2024/11/19_13:54:32,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0094-O,,●,●,1,2024/11/19_13:54:40,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0095-O,,●,●,1,2024/11/19_13:54:43,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0096-O,,●,●,1,2024/11/19_13:54:51,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0097-O,,●,●,2,2024/12/17_09:36:13,M.S.,2024/12/17_13:14:26,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0098-O,,●,●,2,2024/12/17_09:36:16,M.S.,2024/12/17_13:14:26,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0099-O,,●,●,2,2024/12/12_16:32:17,M.S.,2024/12/12_16:41:47,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0100-O,,●,●,2,2024/11/27_11:05:13,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0101-O,,●,●,2,2024/11/27_11:04:57,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0102-O,,●,●,2,2024/11/27_11:04:52,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0103-O,,●,●,1,2024/11/19_13:55:53,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0104-O,,●,●,1,2024/11/19_13:55:55,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0105-O,,●,●,1,2024/11/19_13:55:57,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0106-O,,●,●,1,2024/11/19_13:55:59,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0107-O,,●,●,1,2024/11/19_13:56:01,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0108-O,,●,●,1,2024/11/19_13:56:04,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0109-O,,●,●,1,2024/11/19_13:56:07,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0110-O,,●,●,1,2024/11/19_13:56:10,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0111-O,,●,●,2,2024/12/12_16:32:44,M.S.,2024/12/12_16:41:47,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0112-O,,●,●,1,2024/11/19_13:56:17,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0113-O,,●,●,2,2024/11/27_11:05:39,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0114-O,,●,●,2,2024/11/27_11:05:41,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0115-O,,●,●,2,2024/11/27_11:05:51,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0116-O,,●,●,2,2024/11/27_11:05:54,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0117-O,,●,●,2,2024/11/27_11:05:58,M.S.,2024/11/27_12:42:20,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0118-O,,●,●,2,2024/11/27_11:06:01,M.S.,2024/11/27_12:42:20,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0119-O,,●,●,2,2024/11/27_11:06:03,M.S.,2024/11/27_12:42:20,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0120-O,,●,●,2,2024/11/27_11:06:07,M.S.,2024/11/27_12:42:20,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0121-O,,●,●,2,2024/11/27_11:06:11,M.S.,2024/11/27_12:42:20,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0122-O,,●,●,2,2024/11/27_11:06:15,M.S.,2024/11/27_12:42:20,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0123-O,,●,●,2,2024/11/27_11:06:19,M.S.,2024/11/27_12:42:20,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0124-O,,●,●,2,2024/11/27_11:06:24,M.S.,2024/11/27_12:42:20,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0125-O,,●,●,2,2024/11/27_11:06:27,M.S.,2024/11/27_12:42:20,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0126-O,,●,●,1,2024/11/19_13:58:29,M.S.,2024/11/19_14:18:14,,●,,,,,,,●,●,,,●,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0129-O,,●,●,1,2024/11/19_13:59:13,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,●,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0130-O,,●,●,1,2024/11/19_13:59:46,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0131-O,,●,●,1,2024/11/19_13:59:48,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0132-O,,●,●,1,2024/11/19_13:59:50,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0133-O,,●,●,1,2024/11/19_13:59:53,M.S.,2024/11/19_14:18:14,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0134-O,,●,●,3,2024/12/12_16:35:06,M.S.,2024/12/12_16:41:47,,●,,,,,,,●,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0135-O,,●,●,4,2025/01/10_11:26:42,M.S.,2025/01/10_13:06:25,,●,,,,,,,●,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0136-O,,●,●,3,2024/12/12_16:35:10,M.S.,2024/12/12_16:41:47,,●,,,,,,,●,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0137-O,,●,●,2,2024/11/27_11:08:32,M.S.,2024/11/27_12:42:20,,,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0138-O,,●,●,1,2024/11/19_14:01:00,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0308-O,,●,●,2,2024/12/12_16:36:55,M.S.,2024/12/12_16:41:47,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0309-O,,●,●,1,2024/11/19_14:04:05,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0310-O,,●,●,1,2024/11/19_14:04:07,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0311-O,,●,●,1,2024/11/19_14:04:12,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0312-O,,●,●,1,2024/11/19_14:04:15,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0313-O,,●,●,1,2024/11/19_14:04:29,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0314-O,,●,●,2,2024/11/27_11:28:40,M.S.,2024/11/27_12:42:20,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0315-O,,●,●,1,2024/11/19_14:04:36,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0316-O,,●,●,2,2024/11/27_11:28:49,M.S.,2024/11/27_12:42:20,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0317-O,,●,●,1,2024/11/19_14:04:43,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0318-O,,●,●,1,2024/11/19_14:04:47,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0319-O,,●,●,1,2024/11/19_14:04:55,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0320-O,,●,●,1,2024/11/19_14:04:58,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0321-O,,●,●,1,2024/11/19_14:06:15,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0322-O,,●,●,1,2024/11/19_14:06:19,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0323-O,,●,●,1,2024/11/19_14:06:23,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0324-O,,●,●,1,2024/11/19_14:06:27,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0325-O,,●,●,1,2024/11/19_14:06:31,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0326-O,,●,●,1,2024/11/19_14:06:35,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0327-O,,●,●,1,2024/11/19_14:06:43,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0328-O,,●,●,1,2024/11/19_14:06:47,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0329-O,,●,●,1,2024/11/19_14:07:06,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0330-O,,●,●,2,2025/01/10_13:01:01,M.S.,2025/01/10_13:06:25,,●,,,,,,,,●,,,,,,表面の広範に汚れ,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0331-O,,●,●,2,2025/01/10_13:00:42,M.S.,2025/01/10_13:06:25,,●,,,,,,,,●,,,,,,表面の広範に汚れ,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0332-O,,●,●,2,2025/01/10_13:01:06,M.S.,2025/01/10_13:06:25,,●,,,,,,,,●,,,,,,表面の広範に汚れ,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0333-O,,●,●,1,2024/11/19_14:08:07,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0334-O,,●,●,1,2024/11/19_14:08:09,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0335-O,,●,●,1,2024/11/19_14:08:12,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0336-O,,●,●,1,2024/11/19_14:08:15,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0337-O,,●,●,1,2024/11/19_14:08:18,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0338-O,,●,●,1,2024/11/19_14:08:20,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0339-O,,●,●,1,2024/11/19_14:08:22,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0340-O,,●,●,1,2024/11/19_14:08:25,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0341-O,,●,●,1,2024/11/19_14:08:28,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0342-O,,●,●,1,2024/11/19_14:08:47,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0343-O,,●,●,1,2024/11/19_14:08:50,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0344-O,,●,●,1,2024/11/19_14:08:53,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0345-O,,●,●,1,2024/11/19_14:08:56,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0346-O,,●,●,1,2024/11/19_14:08:58,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0347-O,,●,●,1,2024/11/19_14:09:22,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0348-O,,●,●,1,2024/11/19_14:09:25,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0349-O,,●,●,1,2024/11/19_14:09:28,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0350-O,,●,●,1,2024/11/19_14:09:31,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0351-O,,●,●,1,2024/11/19_14:09:33,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0352-O,,●,●,1,2024/11/19_14:09:36,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0353-O,,●,●,1,2024/11/19_14:09:38,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0354-O,,●,●,1,2024/11/19_14:09:40,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0355-O,,●,●,1,2024/11/19_14:09:44,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0356-O,,●,●,1,2024/11/19_14:09:46,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0357-O,,●,●,1,2024/11/19_14:09:48,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0358-O,,●,●,1,2024/11/19_14:09:51,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0359-O,,●,●,1,2024/11/19_14:09:56,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0360-O,,●,●,1,2024/11/19_14:09:59,M.S.,2024/11/19_14:18:14,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0361-O,,●,●,1,2024/11/19_14:11:16,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0362-O,,●,●,1,2024/11/19_14:11:18,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0363-O,,●,●,1,2024/11/19_14:11:21,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0364-O,,●,●,1,2024/11/19_14:11:23,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0365-O,,●,●,1,2024/11/19_14:11:27,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-03-A1-0366-O,,●,●,1,2024/11/19_14:11:30,M.S.,2024/11/19_14:18:14,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
